Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH,avg_velocity,peak_velocity
85,7/2/2019,14,4,12,9,"Retrieved bait from arm D,A,F,C",7/2/2019 14:49,7/2/2019 14:58,0:08:44,2019_07_02_N85_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 15710)",12050.33993,0.051365285,0.086245306,0.46413341,0.059639743,0.118006492,0.037107759,0.109604736,0.03297053,0.042327032,0,0
82,7/2/2019,21,4,16,5,"Retrieved bait from H,B,D,F",7/2/2019 17:57,7/2/2019 18:02,0:04:27,2019_07_02_N82_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 8004)",10887.24996,0.1675203,0.161274204,0.073204247,0.085446596,0.139912555,0.125171768,0.070955653,0.049469082,0.129294191,0,0
86,7/2/2019,14,4,3,0,"Retrieved bait from arm C,A,F,D",7/2/2019 15:04,7/2/2019 15:06,0:01:29,2019_07_02_N86_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 2676)",2687.327841,0.037728801,0.191258872,0,0.216660441,0.202465446,0.044079193,0.162121778,0.065745237,0.080313784,0,0
80,7/2/2019,22,4,7,2,"Retrieved bait from D,A,C,F",7/2/2019 10:48,7/2/2019 10:51,0:02:35,2019_07_02_N80_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 4661)",6533.294662,0.147790648,0.196482196,0.072072072,0.215572716,0.17996568,0.064993565,0.089446589,0.034105534,0,0,0
98,7/2/2019,20,4,6,3,"Retrieved bait from arm C,A,D,F",7/2/2019 17:35,7/2/2019 17:39,0:03:18,2019_07_02_N98_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 5954)",6864.235298,0.098236776,0.322586062,0.085642317,0.131150294,0.063476071,0.07774979,0.12225021,0.065155332,0.034928631,0,0
87,7/2/2019,15,4,11,4,"Visited several baited arms without retreiving bait.  Eventually retrieved A,C,D,F",7/2/2019 15:21,7/2/2019 15:25,0:03:30,2019_07_02_N87_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 6308)",8734.777831,0.11745126,0.264859724,0.052464733,0.070375654,0.167062926,0.056268822,0.181803772,0.04168648,0.049136155,0,0
78,7/2/2019,22,4,5,2,"Retrieved bait from A,D,C,F",7/2/2019 10:08,7/2/2019 10:11,0:02:20,2019_07_02_N78_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,50,0,all,"(0, 4192)",5487.737367,0.074171238,0.168614357,0.082756976,0.094443119,0.191032674,0.11113761,0.144765085,0.050321965,0.08394944,0,0
83,7/2/2019,21,4,6,2,"Retrieved bait from arm B,F,D,H",7/2/2019 18:10,7/2/2019 18:12,0:01:58,2019_07_02_N83_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3533)",5679.288941,0.099320883,0.092812677,0.201188455,0.13327674,0.10639502,0.054895303,0.111771364,0.035936616,0.165251839,0,0
84,7/2/2019,20,4,4,1,"Retrieved bait from arm D,B,F,H",7/2/2019 18:23,7/2/2019 18:25,0:02:02,2019_07_02_N84_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3668)",4243.129874,0.109294086,0.065958027,0.116380485,0.116925593,0.212046879,0,0.170891251,0.032433906,0.177705097,0,0
78,7/3/2019,22,4,5,3,"Retrieved bait from arm D,A,C,F",7/3/2019 16:29,7/3/2019 16:31,0:02:07,2019_07_03_N78_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3821)",5279.802223,0.085818943,0.162480377,0,0.236525379,0.170068027,0.149921507,0.112506541,0.038723182,0.046310832,0,0
